sid,r01,r12,r21,r3x
s001,0.0162162162162162,0.318918918918919,0.27027027027027,0.394594594594595
s002,0.0348837209302326,0.313953488372093,0.255813953488372,0.395348837209302
s003,0.107954545454545,0.357954545454545,0.289772727272727,0.244318181818182
s004,0.0598802395209581,0.389221556886228,0.341317365269461,0.209580838323353
s005,0.850299401197605,0.125748502994012,0.0119760479041916,0.0119760479041916
s006,0.053475935828877,0.288770053475936,0.288770053475936,0.368983957219251
s007,0.0118343195266272,0.177514792899408,0.337278106508876,0.473372781065089
s008,0.807692307692308,0.166666666666667,0.0192307692307692,0.00641025641025641
s009,0.159090909090909,0.301136363636364,0.289772727272727,0.25
s010,0.00555555555555556,0.122222222222222,0.238888888888889,0.633333333333333
s011,0.0432432432432432,0.378378378378378,0.345945945945946,0.232432432432432
s012,0.0982658959537572,0.283236994219653,0.300578034682081,0.317919075144509
s013,0.0852272727272727,0.431818181818182,0.3125,0.170454545454545
s014,0.0119760479041916,0.269461077844311,0.389221556886228,0.329341317365269
s015,0.0239520958083832,0.191616766467066,0.353293413173653,0.431137724550898
s016,0.0106951871657754,0.101604278074866,0.262032085561497,0.625668449197861
s017,0.455621301775148,0.384615384615385,0.118343195266272,0.0414201183431953
s018,0.0641025641025641,0.217948717948718,0.358974358974359,0.358974358974359
s019,0.479289940828402,0.0355029585798817,0.00591715976331361,0.479289940828402
s020,0.0388888888888889,0.177777777777778,0.255555555555556,0.527777777777778
s021,0.783783783783784,0.167567567567568,0.0324324324324324,0.0162162162162162
s022,0.0348837209302326,0.197674418604651,0.261627906976744,0.505813953488372
s023,0.846590909090909,0.107954545454545,0.0340909090909091,0.0113636363636364
s024,0.416083916083916,0.143356643356643,0.0244755244755245,0.416083916083916
s025,0.0359281437125748,0.221556886227545,0.353293413173653,0.389221556886228
s026,0.582887700534759,0.240641711229947,0.101604278074866,0.0748663101604278
s027,0.911242603550296,0.0532544378698225,0.0177514792899408,0.0177514792899408
s028,0.0384615384615385,0.134615384615385,0.282051282051282,0.544871794871795
s029,0.00568181818181818,0.244318181818182,0.278409090909091,0.471590909090909
s030,0.372222222222222,0.311111111111111,0.188888888888889,0.127777777777778
s031,0.513513513513513,0.432432432432432,0.0378378378378378,0.0162162162162162
s032,0.720930232558139,0.22093023255814,0.0348837209302326,0.0232558139534884
s033,0.192660550458716,0.284403669724771,0.330275229357798,0.192660550458716
s034,0.718562874251497,0.197604790419162,0.0598802395209581,0.0239520958083832
s035,0.00598802395209581,0.239520958083832,0.353293413173653,0.401197604790419
s036,0.299465240641711,0.406417112299465,0.192513368983957,0.101604278074866
s037,0.0414201183431953,0.136094674556213,0.349112426035503,0.473372781065089
s038,0.0769230769230769,0.25,0.211538461538462,0.461538461538462
s039,0.204545454545455,0.306818181818182,0.301136363636364,0.1875
s040,0.1,0.377777777777778,0.277777777777778,0.244444444444444
s041,0.435975609756098,0.103658536585366,0.024390243902439,0.435975609756098
s042,0.15028901734104,0.190751445086705,0.416184971098266,0.242774566473988
s043,0.289772727272727,0.477272727272727,0.159090909090909,0.0738636363636364
s044,0.0179640718562874,0.149700598802395,0.281437125748503,0.550898203592814
s045,0.311377245508982,0.449101796407186,0.173652694610778,0.0658682634730539
s046,0.272727272727273,0.459893048128342,0.18716577540107,0.0802139037433155
s047,0.0177514792899408,0.36094674556213,0.366863905325444,0.254437869822485
s048,0.0576923076923077,0.397435897435897,0.243589743589744,0.301282051282051
s049,0.0454545454545455,0.420454545454545,0.289772727272727,0.244318181818182
s050,0.672222222222222,0.238888888888889,0.0555555555555556,0.0333333333333333
s051,0.410810810810811,0.335135135135135,0.2,0.0540540540540541
s052,0.0523255813953488,0.354651162790698,0.255813953488372,0.337209302325581
s053,0.142045454545455,0.318181818181818,0.227272727272727,0.3125
s054,0.029940119760479,0.18562874251497,0.401197604790419,0.383233532934132
s055,0.251497005988024,0.437125748502994,0.245508982035928,0.0658682634730539
s056,0.106951871657754,0.433155080213904,0.20855614973262,0.251336898395722
s057,0.124260355029586,0.420118343195266,0.260355029585799,0.195266272189349
s058,0.185897435897436,0.435897435897436,0.237179487179487,0.141025641025641
s059,0.0340909090909091,0.244318181818182,0.335227272727273,0.386363636363636
s060,0.588888888888889,0.305555555555556,0.0722222222222222,0.0333333333333333
s061,0.762162162162162,0.156756756756757,0.0486486486486487,0.0324324324324324
s062,0.715116279069767,0.156976744186047,0.0813953488372093,0.0465116279069767
s063,0.125,0.193181818181818,0.301136363636364,0.380681818181818
s064,0.0239520958083832,0.25748502994012,0.359281437125749,0.359281437125749
s065,0.0718562874251497,0.287425149700599,0.341317365269461,0.29940119760479
s066,0.385026737967914,0.331550802139037,0.13903743315508,0.144385026737968
s067,0.343195266272189,0.384615384615385,0.201183431952663,0.0710059171597633
s068,0.0448717948717949,0.185897435897436,0.365384615384615,0.403846153846154
s069,0.107954545454545,0.3125,0.357954545454545,0.221590909090909
s070,0.0444444444444444,0.188888888888889,0.383333333333333,0.383333333333333
s071,0.0324324324324324,0.281081081081081,0.318918918918919,0.367567567567568
s072,0.372093023255814,0.372093023255814,0.156976744186047,0.0988372093023256
s073,0.00568181818181818,0.164772727272727,0.295454545454545,0.534090909090909
s074,0.0778443113772455,0.395209580838323,0.305389221556886,0.221556886227545
s075,0.0239520958083832,0.233532934131737,0.395209580838323,0.347305389221557
s076,0.304812834224599,0.470588235294118,0.155080213903743,0.0695187165775401
s077,0.0355029585798817,0.236686390532544,0.301775147928994,0.42603550295858
s078,0.294871794871795,0.262820512820513,0.224358974358974,0.217948717948718
s079,0.441269841269841,0.0920634920634921,0.0253968253968254,0.441269841269841
s080,0.416666666666667,0.388888888888889,0.144444444444444,0.05
s081,0.0378378378378378,0.194594594594595,0.302702702702703,0.464864864864865
s082,0.173410404624277,0.283236994219653,0.294797687861272,0.248554913294798
s083,0.147727272727273,0.443181818181818,0.255681818181818,0.153409090909091
s084,0.44311377245509,0.275449101796407,0.137724550898204,0.143712574850299
s085,0.92814371257485,0.0598802395209581,0.00598802395209581,0.00598802395209581
s086,0.197860962566845,0.368983957219251,0.20855614973262,0.224598930481283
s087,0.48,0.0338461538461538,0.00615384615384615,0.48
s088,0.653846153846154,0.243589743589744,0.0897435897435897,0.0128205128205128
s089,0.0909090909090909,0.363636363636364,0.352272727272727,0.193181818181818
s090,0.616666666666667,0.266666666666667,0.0888888888888889,0.0277777777777778
s091,0.0706521739130435,0.385869565217391,0.244565217391304,0.298913043478261
s092,0.023121387283237,0.0982658959537572,0.254335260115607,0.624277456647399
s093,0.0681818181818182,0.278409090909091,0.323863636363636,0.329545454545455
s094,0.11377245508982,0.395209580838323,0.251497005988024,0.239520958083832
s095,0.00598802395209581,0.173652694610778,0.323353293413174,0.497005988023952
s096,0.754010695187166,0.197860962566845,0.0374331550802139,0.0106951871657754
s097,0.0177514792899408,0.0887573964497041,0.349112426035503,0.544378698224852
s098,0.00641025641025641,0.192307692307692,0.288461538461538,0.512820512820513
s099,0.272727272727273,0.420454545454545,0.215909090909091,0.0909090909090909
s100,0.872222222222222,0.1,0.0222222222222222,0.00555555555555556
s101,0.189189189189189,0.513513513513513,0.210810810810811,0.0864864864864865
s102,0.30635838150289,0.508670520231214,0.115606936416185,0.069364161849711
s103,0.392045454545455,0.301136363636364,0.181818181818182,0.125
s104,0.341317365269461,0.437125748502994,0.161676646706587,0.0598802395209581
s105,0.347305389221557,0.347305389221557,0.191616766467066,0.11377245508982
s106,0.0909090909090909,0.39572192513369,0.299465240641711,0.213903743315508
s107,0.633136094674556,0.289940828402367,0.0532544378698225,0.0236686390532544
s108,0.0576923076923077,0.333333333333333,0.230769230769231,0.378205128205128
s109,0.920454545454545,0.0568181818181818,0.0170454545454545,0.00568181818181818
s110,0.111111111111111,0.305555555555556,0.222222222222222,0.361111111111111
s111,0.0108108108108108,0.227027027027027,0.356756756756757,0.405405405405405
s112,0.0872093023255814,0.494186046511628,0.238372093023256,0.180232558139535
s113,0.375,0.403409090909091,0.136363636363636,0.0852272727272727
s114,0.0119760479041916,0.101796407185629,0.317365269461078,0.568862275449102
s115,0.0119760479041916,0.263473053892216,0.37125748502994,0.353293413173653
s116,0.053475935828877,0.401069518716578,0.27807486631016,0.267379679144385
s117,0.0828402366863905,0.254437869822485,0.301775147928994,0.36094674556213
s118,0.0256410256410256,0.198717948717949,0.33974358974359,0.435897435897436
s119,0.613636363636364,0.272727272727273,0.0852272727272727,0.0284090909090909
s120,0.0444444444444444,0.1,0.327777777777778,0.527777777777778
s121,0.167567567567568,0.389189189189189,0.232432432432432,0.210810810810811
s122,0.0346820809248555,0.317919075144509,0.335260115606936,0.312138728323699
s123,0.0568181818181818,0.301136363636364,0.323863636363636,0.318181818181818
s124,0.580838323353293,0.239520958083832,0.101796407185629,0.0778443113772455
s125,0.88622754491018,0.0958083832335329,0.0119760479041916,0.00598802395209581
s126,0.0748663101604278,0.245989304812834,0.331550802139037,0.347593582887701
s127,0.0355029585798817,0.21301775147929,0.355029585798817,0.396449704142012
s128,0.032051282051282,0.320512820512821,0.211538461538462,0.435897435897436
s129,0.0227272727272727,0.181818181818182,0.329545454545455,0.465909090909091
s130,0.722222222222222,0.2,0.0555555555555556,0.0222222222222222
s131,0.0756756756756757,0.524324324324324,0.237837837837838,0.162162162162162
s132,0.699421965317919,0.219653179190751,0.0578034682080925,0.023121387283237
s133,0.147727272727273,0.346590909090909,0.272727272727273,0.232954545454545
s134,0.167664670658683,0.293413173652695,0.305389221556886,0.233532934131737
s135,0.706586826347305,0.227544910179641,0.0479041916167665,0.0179640718562874
s136,0.0106951871657754,0.20855614973262,0.262032085561497,0.518716577540107
s137,0.0710059171597633,0.473372781065089,0.27810650887574,0.177514792899408
s138,0.0961538461538462,0.224358974358974,0.429487179487179,0.25
s139,0.465909090909091,0.375,0.142045454545455,0.0170454545454545
s140,0.0388888888888889,0.233333333333333,0.405555555555556,0.322222222222222
s141,0.0108108108108108,0.0756756756756757,0.259459459459459,0.654054054054054
s142,0.11046511627907,0.383720930232558,0.209302325581395,0.296511627906977
s143,0.142045454545455,0.488636363636364,0.198863636363636,0.170454545454545
s144,0.401197604790419,0.383233532934132,0.11377245508982,0.101796407185629
s145,0.44311377245509,0.413173652694611,0.0958083832335329,0.0479041916167665
s146,0.631016042780749,0.283422459893048,0.053475935828877,0.0320855614973262
s147,0.0118343195266272,0.254437869822485,0.378698224852071,0.355029585798817
s148,0.0705128205128205,0.262820512820513,0.237179487179487,0.429487179487179
s149,0.443181818181818,0.375,0.142045454545455,0.0397727272727273
s150,0.188888888888889,0.311111111111111,0.194444444444444,0.305555555555556
s151,0.843243243243243,0.135135135135135,0.0162162162162162,0.00540540540540541
s152,0.0635838150289017,0.202312138728324,0.312138728323699,0.421965317919075
s153,0.0965909090909091,0.392045454545455,0.306818181818182,0.204545454545455
s154,0.00598802395209581,0.173652694610778,0.389221556886228,0.431137724550898
s155,0.0419161676646707,0.227544910179641,0.341317365269461,0.389221556886228
s156,0.0909090909090909,0.401069518716578,0.262032085561497,0.245989304812834
s157,0.0946745562130177,0.402366863905325,0.289940828402367,0.21301775147929
s158,0.602564102564103,0.326923076923077,0.0384615384615385,0.032051282051282
s159,0.2,0.236363636363636,0.363636363636364,0.2
s160,0.105555555555556,0.311111111111111,0.327777777777778,0.255555555555556
s161,0.659459459459459,0.27027027027027,0.0486486486486487,0.0216216216216216
s162,0.468208092485549,0.317919075144509,0.132947976878613,0.0809248554913295
s163,0.0113636363636364,0.227272727272727,0.346590909090909,0.414772727272727
s164,0.0419161676646707,0.275449101796407,0.251497005988024,0.431137724550898
s165,0.0119760479041916,0.25748502994012,0.347305389221557,0.383233532934132
s166,0.0909090909090909,0.245989304812834,0.304812834224599,0.358288770053476
s167,0.0769230769230769,0.420118343195266,0.313609467455621,0.189349112426035
s168,0.711538461538462,0.217948717948718,0.0384615384615385,0.032051282051282
s169,0.715909090909091,0.181818181818182,0.0625,0.0397727272727273
s170,0.0722222222222222,0.3,0.277777777777778,0.35
s171,0.335135135135135,0.443243243243243,0.140540540540541,0.0810810810810811
s172,0.0809248554913295,0.265895953757225,0.335260115606936,0.317919075144509
s173,0.744318181818182,0.193181818181818,0.0397727272727273,0.0227272727272727
s174,0.029940119760479,0.239520958083832,0.323353293413174,0.407185628742515
s175,0.0359281437125748,0.449101796407186,0.335329341317365,0.179640718562874
s176,0.0053475935828877,0.0588235294117647,0.155080213903743,0.780748663101604
s177,0.0710059171597633,0.337278106508876,0.289940828402367,0.301775147928994
s178,0.032051282051282,0.352564102564103,0.269230769230769,0.346153846153846
s179,0.829545454545455,0.107954545454545,0.0284090909090909,0.0340909090909091
s180,0.0444444444444444,0.15,0.227777777777778,0.577777777777778
s181,0.189189189189189,0.491891891891892,0.210810810810811,0.108108108108108
s182,0.0635838150289017,0.335260115606936,0.265895953757225,0.335260115606936
s183,0.0382513661202186,0.19672131147541,0.726775956284153,0.0382513661202186
s184,0.197604790419162,0.473053892215569,0.251497005988024,0.0778443113772455
s185,0.0239520958083832,0.275449101796407,0.413173652694611,0.287425149700599
s186,0.459893048128342,0.347593582887701,0.122994652406417,0.0695187165775401
s187,0.171597633136095,0.461538461538462,0.230769230769231,0.136094674556213
s188,0.0192307692307692,0.0641025641025641,0.198717948717949,0.717948717948718
s189,0.0397727272727273,0.289772727272727,0.323863636363636,0.346590909090909
s190,0.0388888888888889,0.277777777777778,0.316666666666667,0.366666666666667
s191,0.46685878962536,0.0634005763688761,0.00288184438040346,0.46685878962536
s192,0.104651162790698,0.395348837209302,0.290697674418605,0.209302325581395
s193,0.72,0.211428571428571,0.0571428571428571,0.0114285714285714
s194,0.0778443113772455,0.377245508982036,0.287425149700599,0.25748502994012
s195,0.0838323353293413,0.275449101796407,0.401197604790419,0.239520958083832
s196,0.796791443850267,0.133689839572193,0.0481283422459893,0.0213903743315508
s197,0.100591715976331,0.467455621301775,0.27810650887574,0.153846153846154
s198,0.446808510638298,0.0921985815602837,0.0141843971631206,0.446808510638298
s199,0.869318181818182,0.107954545454545,0.0113636363636364,0.0113636363636364
s200,0.561111111111111,0.327777777777778,0.105555555555556,0.00555555555555556
s201,0.0108108108108108,0.162162162162162,0.362162162162162,0.464864864864865
s202,0.0697674418604651,0.267441860465116,0.354651162790698,0.308139534883721
s203,0.0227272727272727,0.210227272727273,0.357954545454545,0.409090909090909
s204,0.0239520958083832,0.413173652694611,0.293413173652695,0.269461077844311
s205,0.203592814371257,0.37125748502994,0.293413173652695,0.131736526946108
s206,0.561497326203209,0.342245989304813,0.0748663101604278,0.0213903743315508
s207,0.85207100591716,0.130177514792899,0.00591715976331361,0.0118343195266272
s208,0.0961538461538462,0.416666666666667,0.269230769230769,0.217948717948718
s209,0.102272727272727,0.289772727272727,0.318181818181818,0.289772727272727
s210,0.0166666666666667,0.2,0.283333333333333,0.5
s211,0.848648648648649,0.108108108108108,0.0378378378378378,0.00540540540540541
s212,0.277456647398844,0.300578034682081,0.277456647398844,0.144508670520231
s213,0.119318181818182,0.301136363636364,0.306818181818182,0.272727272727273
s214,0.395209580838323,0.407185628742515,0.125748502994012,0.0718562874251497
s215,0.0359281437125748,0.221556886227545,0.467065868263473,0.275449101796407
s216,0.598930481283422,0.267379679144385,0.0748663101604278,0.0588235294117647
s217,0.603550295857988,0.248520710059172,0.0828402366863905,0.0650887573964497
s218,0.0448717948717949,0.134615384615385,0.211538461538462,0.608974358974359
s219,0.0340909090909091,0.0625,0.221590909090909,0.681818181818182
s220,0.482758620689655,0.0258620689655172,0.00862068965517241,0.482758620689655
s221,0.0756756756756757,0.12972972972973,0.227027027027027,0.567567567567568
s222,0.354651162790698,0.401162790697674,0.162790697674419,0.0813953488372093
s223,0.602272727272727,0.261363636363636,0.102272727272727,0.0340909090909091
s224,0.0778443113772455,0.401197604790419,0.305389221556886,0.215568862275449
s225,0.215568862275449,0.491017964071856,0.179640718562874,0.11377245508982
s226,0.0213903743315508,0.133689839572193,0.374331550802139,0.470588235294118
s227,0.0236686390532544,0.301775147928994,0.313609467455621,0.36094674556213
s228,0.0192307692307692,0.237179487179487,0.282051282051282,0.461538461538462
s229,0.596590909090909,0.261363636363636,0.102272727272727,0.0397727272727273
s230,0.0111111111111111,0.111111111111111,0.355555555555556,0.522222222222222
s231,0.740540540540541,0.156756756756757,0.0702702702702703,0.0324324324324324
s232,0.145348837209302,0.441860465116279,0.238372093023256,0.174418604651163
s233,0.346590909090909,0.369318181818182,0.159090909090909,0.125
s234,0.0179640718562874,0.149700598802395,0.341317365269461,0.491017964071856
s235,0.0778443113772455,0.497005988023952,0.317365269461078,0.107784431137725
s236,0.0427807486631016,0.122994652406417,0.331550802139037,0.502673796791444
s237,0.656804733727811,0.260355029585799,0.0473372781065089,0.0355029585798817
s238,0.179487179487179,0.326923076923077,0.230769230769231,0.262820512820513
s239,0.0625,0.238636363636364,0.357954545454545,0.340909090909091
s240,0.0666666666666667,0.261111111111111,0.311111111111111,0.361111111111111
s241,0.167567567567568,0.318918918918919,0.194594594594595,0.318918918918919
s242,0.063953488372093,0.162790697674419,0.25,0.523255813953488
s243,0.0738636363636364,0.221590909090909,0.386363636363636,0.318181818181818
s244,0.413173652694611,0.419161676646707,0.131736526946108,0.0359281437125748
s245,0.766467065868264,0.161676646706587,0.0479041916167665,0.0239520958083832
s246,0.882352941176471,0.0909090909090909,0.0106951871657754,0.0160427807486631
s247,0.0355029585798817,0.183431952662722,0.343195266272189,0.437869822485207
s248,0.115384615384615,0.378205128205128,0.282051282051282,0.224358974358974
s249,0.0170454545454545,0.272727272727273,0.420454545454545,0.289772727272727
s250,0.344444444444444,0.4,0.155555555555556,0.1
s251,0.0432432432432432,0.356756756756757,0.335135135135135,0.264864864864865
s252,0.861271676300578,0.104046242774566,0.0115606936416185,0.023121387283237
s253,0.0880829015544041,0.22279792746114,0.601036269430052,0.0880829015544041
s254,0.425149700598802,0.383233532934132,0.155688622754491,0.0359281437125748
s255,0.293413173652695,0.389221556886228,0.239520958083832,0.0778443113772455
s256,0.0160427807486631,0.117647058823529,0.336898395721925,0.529411764705882
s257,0.029585798816568,0.337278106508876,0.319526627218935,0.313609467455621
s258,0.0641025641025641,0.397435897435897,0.25,0.288461538461538
s259,0.0113636363636364,0.227272727272727,0.306818181818182,0.454545454545455
s260,0.2,0.466666666666667,0.205555555555556,0.127777777777778
s261,0.335135135135135,0.518918918918919,0.102702702702703,0.0432432432432432
s262,0.023121387283237,0.132947976878613,0.294797687861272,0.549132947976879
s263,0.170454545454545,0.431818181818182,0.272727272727273,0.125
s264,0.134715025906736,0.227979274611399,0.50259067357513,0.134715025906736
s265,0.425149700598802,0.317365269461078,0.143712574850299,0.11377245508982
s266,0.20855614973262,0.358288770053476,0.251336898395722,0.181818181818182
s267,0.781065088757396,0.142011834319527,0.0236686390532544,0.0532544378698225
s268,0.25,0.269230769230769,0.275641025641026,0.205128205128205
s269,0.102272727272727,0.454545454545455,0.267045454545455,0.176136363636364
s270,0.738888888888889,0.2,0.0333333333333333,0.0277777777777778
s271,0.194594594594595,0.410810810810811,0.248648648648649,0.145945945945946
s272,0.121387283236994,0.38150289017341,0.254335260115607,0.242774566473988
s273,0.727272727272727,0.215909090909091,0.0454545454545455,0.0113636363636364
s274,0.101796407185629,0.479041916167665,0.245508982035928,0.173652694610778
s275,0.155688622754491,0.48502994011976,0.155688622754491,0.203592814371257
s276,0.657754010695187,0.272727272727273,0.0588235294117647,0.0106951871657754
s277,0.118343195266272,0.242603550295858,0.218934911242604,0.420118343195266
s278,0.0256410256410256,0.256410256410256,0.269230769230769,0.448717948717949
s279,0.441269841269841,0.0920634920634921,0.0253968253968254,0.441269841269841
s280,0.0166666666666667,0.277777777777778,0.277777777777778,0.427777777777778
s281.0,0.0166666666666667,0.0777777777777778,0.283333333333333,0.622222222222222
s281.1,0.0162162162162162,0.124324324324324,0.32972972972973,0.52972972972973
s281.2,0.023121387283237,0.104046242774566,0.30635838150289,0.566473988439306
s281.3,0.102040816326531,0.306122448979592,0.489795918367347,0.102040816326531
s281.4,0.0179640718562874,0.11377245508982,0.359281437125749,0.508982035928144
s281.5,0.0119760479041916,0.0718562874251497,0.329341317365269,0.586826347305389
s281.6,0.0053475935828877,0.101604278074866,0.272727272727273,0.620320855614973
s281.7,0.0118343195266272,0.112426035502959,0.331360946745562,0.544378698224852
s281.8,0.0192307692307692,0.102564102564103,0.237179487179487,0.641025641025641
s281.9,0.0170454545454545,0.113636363636364,0.301136363636364,0.568181818181818
s282.0,0.216666666666667,0.4,0.244444444444444,0.138888888888889
s282.1,0.172972972972973,0.432432432432432,0.259459459459459,0.135135135135135
s282.2,0.248554913294798,0.369942196531792,0.219653179190751,0.161849710982659
s282.3,0.215909090909091,0.397727272727273,0.221590909090909,0.164772727272727
s282.4,0.18562874251497,0.467065868263473,0.239520958083832,0.107784431137725
s282.5,0.215568862275449,0.449101796407186,0.209580838323353,0.125748502994012
s282.6,0.235294117647059,0.427807486631016,0.203208556149733,0.133689839572193
s282.7,0.266272189349112,0.372781065088757,0.242603550295858,0.118343195266272
s282.8,0.217948717948718,0.378205128205128,0.217948717948718,0.185897435897436
s282.9,0.1875,0.460227272727273,0.215909090909091,0.136363636363636
